,ano,bloco,ndvi,area,cdambiente
0,2021,604P0311,0.1856657597218216,20.63,A
1,2021,111P1186,0.3383864507061321,8.4,B
2,2021,116P1611,0.1127109129532851,7.94,B
3,2021,116P1626,0.2156239335159414,21.62,D
4,2021,134P1520,0.2223015538629997,24.94,C
5,2021,134P3434,0.1918743137006126,6.63,C
6,2021,141P4142,0.1975867294786888,1.65,B
7,2021,143P4234,0.1452124295187624,9.55,C
8,2021,143P4304,0.1675883057674758,16.96,C
9,2021,517P0042,0.153923423782772,19.5,D
10,2021,518P0013,0.2479644755576946,17.84,A
11,2021,522P0032,0.2570817434342108,16.11,C
12,2021,522P0050,0.2269384404197888,14.85,C
13,2021,301P0008,0.1192066990451229,22.84,C
14,2021,309P0025,0.2321422103803103,7.0,D
15,2021,303P0036,0.2050053628543431,11.93,B
16,2021,309P0054,0.2634006126673981,4.53,D
17,2021,411P0021,0.1132269970389287,4.5,D
18,2021,111F0048,0.1706800072231276,22.09,B
19,2021,112F0054,0.2641434127375188,14.1,B
20,2021,113F0011,0.1302429694898982,11.95,A
21,2021,125F0024,0.1622639923544923,6.83,B
22,2021,135F0004,0.2955128529941803,18.03,C
23,2021,302F0396,0.1247641148256219,5.77,B
24,2021,302F0854,0.3313722941805335,3.42,B
25,2021,303F0470,0.1963548256215712,7.22,B
26,2021,521F0016,0.0589557108555861,5.38,A
27,2021,521F0018,0.1945834908309633,17.06,B
28,2021,603F0020,0.1505661317796418,3.68,C
29,2021,603F0057,0.2665885800204864,18.41,C
30,2021,604F0480,0.174181726868928,8.19,B
31,2021,606F0010,0.071409412308793,6.31,B
32,2021,143P4321,0.210144923643515,8.32,B
33,2021,238P3901,0.1879809025775217,11.51,C
34,2021,605P0321,0.272348951861966,9.8,B
35,2021,132P3201,0.1912734257829123,10.86,C
36,2021,522P0057,0.2662192204475173,20.76,B
37,2021,301P0010,0.1282416010945301,10.16,C
38,2021,407P0015,0.112461425458628,6.5,B
39,2021,408P0004,0.0917331700603422,12.51,C
40,2021,110F0011,0.1741017553030996,5.3,A
41,2021,111F0002,0.1441658972208523,6.22,A
42,2021,111F0103,0.1502208192026584,3.87,C
43,2021,112F0089,0.195887420539005,21.93,C
44,2021,133F0012,0.1325944036059081,15.95,C
45,2021,302F0526,0.1402291392585561,6.51,D
46,2021,414F0003,0.0785096919292623,18.72,B
47,2021,517F0684,0.0578641628898515,20.81,C
48,2021,521F0008,0.0831533114102997,14.06,B
49,2021,521F0010,0.3109333341961857,2.68,A
50,2021,521F0040,0.2641837169576015,38.37,A
51,2021,521F0084,0.0709406654968379,23.14,A
52,2021,521F0162,0.2156983271976653,23.34,B
53,2021,602F0005,0.3629412101559571,7.37,C
54,2021,603F0059,0.3198884070586802,6.73,A
55,2021,605F0009,0.231273437421983,6.95,D
56,2021,605F0069,0.1164272107199887,4.69,D
57,2021,224P2343,0.12575206081965,5.09,D
58,2021,224P2441,0.162454323664934,30.37,D
59,2021,112P1266,0.2058000247810542,6.48,C
60,2021,112P1642,0.2056649417816838,0.81,C
61,2021,113P1306,0.2561865889277503,4.24,C
62,2021,116P1654,0.1755168791902965,4.42,D
63,2021,121P2115,0.2266974023006136,17.91,C
64,2021,122P2214,0.2047191236426334,4.06,B
65,2021,132P3334,0.2216426598656381,4.7,B
66,2021,134P3445,0.115332898190118,22.74,B
67,2021,141P4131,0.2474376762326063,15.72,C
68,2021,143P4346,0.1794639356767521,15.51,C
69,2021,517P0048,0.1972772905703368,6.8,D
70,2021,521P0006,0.0243887998036117,14.55,A
71,2021,409P0021,0.1072484699383737,10.69,C
72,2021,110F0008,0.2778097190910188,17.54,C
73,2021,112F0060,0.1936053032547178,30.41,C
74,2021,125F0024,0.1352896369557022,5.48,B
75,2021,302F0582,0.1147259816919502,3.43,B
76,2021,309F0912,0.2135703199553763,4.47,C
77,2021,414F0002,0.1874860149286949,12.8,B
78,2021,414F0003,0.0654243983096812,28.72,B
79,2021,517F0086,0.201682563495571,33.12,C
80,2021,601F0377,0.1173334819882103,4.71,C
81,2021,602F0001,0.0952632474724606,5.71,D
82,2021,606F0017,0.1265660888279447,16.41,B
83,2021,606F0017,0.2370386360507262,10.51,B
84,2021,220P2910,0.1888384974998807,31.13,B
85,2021,226P2536,0.125691724774526,9.98,C
86,2021,226P2671,0.1396750478694836,6.62,C
87,2021,220P2022,0.1570431665036611,15.72,C
88,2021,520P0009,0.0650010959342555,31.44,C
89,2021,521P0023,0.1034618921940692,18.75,A
90,2021,303P0019,0.0854070674241761,32.05,D
91,2021,407P0030,0.1835773911059292,7.69,D
92,2021,408P0041,0.2068968490824989,7.75,C
93,2021,411P0014,0.1672714652046738,4.18,D
94,2021,111F0094,0.1285761814690442,2.07,B
95,2021,124F0007,0.2507049362661102,14.37,B
96,2021,125F0020,0.2941980195961208,7.31,C
97,2021,135F0013,0.116826601751794,7.74,C
98,2021,141F0002,0.2764487412102796,15.47,C
99,2021,301F0265,0.1193322957451663,2.71,D
100,2021,302F0495,0.2119803318499069,16.55,B
101,2021,409F0001,0.0798805247255187,7.56,B
102,2021,520F0008,0.1002411141571326,9.75,A
103,2021,521F0160,0.1641534019760853,18.05,C
104,2021,220P2880,0.1687432973855344,7.92,C
105,2021,220P2001,0.1586521420324949,21.6,E
106,2021,221P3410,0.2077936086723712,31.67,E
107,2021,222P2210,0.1468724763936653,15.59,D
108,2021,226P2633,0.1191712064580333,3.55,C
109,2021,143P4349,0.2065770697295408,11.57,C
110,2021,602P0323,0.1449755074201991,12.29,D
111,2021,602P0356,0.2164579002145019,23.82,C
112,2021,604P0313,0.1105625918926743,6.47,D
113,2021,113P1304,0.2085726994378813,2.88,B
114,2021,116P1240,0.1242911616858747,4.85,C
115,2021,116P1639,0.1998931126609729,15.77,B
116,2021,133P3322,0.2150446690808413,4.71,C
117,2021,308P0072,0.1624648748456803,10.41,C
118,2021,308P0072,0.2064222495959634,11.22,C
119,2021,309P0025,0.2172560083757607,27.26,D
120,2021,409P0028,0.0871614325249527,3.25,C
121,2021,414P0038,0.2435947278574431,15.29,D
122,2021,414P0050,0.1547141090311386,14.06,B
123,2021,111F0097,0.1260998900422079,6.67,B
124,2021,112F0115,0.0969967992797409,7.1,C
125,2021,113F0011,0.1195029104909589,15.46,A
126,2021,113F0012,0.1319883426105268,11.27,B
127,2021,302F0565,0.0907331744897855,4.4,B
128,2021,518F0018,0.1980891804806552,8.9,B
129,2021,521F0041,0.3071661273049096,14.79,A
130,2021,521F0042,0.3714988165852026,15.19,B
131,2021,521F0062,0.097128782037833,17.25,B
132,2021,521F0172,0.0966808517739561,15.91,B
133,2021,601F0436,0.115649568226142,12.68,D
134,2021,220P2916,0.185547226798843,10.33,D
